"treatment_indicator","Profit_zscore","Revenue_zscore","Baseline_Profit_z","Baseline_Revenue_z","urban","female","group"
1,-0.536308370938801,NA,-0.464353084242927,NA,1,1,"Kenya"
1,0.290028132026782,NA,-0.464353084242927,NA,1,1,"Kenya"
1,-0.613704154916638,-0.788439373044271,-0.464353084242927,NA,1,1,"Kenya"
1,-0.820625228446936,-0.956804493565229,-0.464353084242927,NA,1,1,"Kenya"
1,0.279249140311339,-0.0863357996512345,-0.464353084242927,NA,1,1,"Kenya"
1,-0.460269749508966,-0.775485307878035,-0.464353084242927,NA,1,1,"Kenya"
1,-0.249564779338118,-0.498286899004985,-0.464353084242927,NA,1,1,"Kenya"
1,-0.536308370938801,NA,0.473760951495921,NA,1,1,"Kenya"
1,-0.121547360942086,NA,0.473760951495921,NA,1,1,"Kenya"
1,-0.502455425672685,-0.583414168704189,0.473760951495921,NA,1,1,"Kenya"
1,-0.747373629107672,-1.0502099894775,0.473760951495921,NA,1,1,"Kenya"
1,0.775987937490871,0.259411997439661,0.473760951495921,NA,1,1,"Kenya"
1,-0.774594063414904,-0.755527028680648,0.473760951495921,NA,1,1,"Kenya"
1,-0.144122224587439,-0.307845455034159,0.473760951495921,NA,1,1,"Kenya"
1,-0.46315353481912,NA,0.661383758643691,NA,1,1,"Kenya"
1,-0.83245048516104,NA,0.661383758643691,NA,1,1,"Kenya"
1,-0.669328519538614,-0.480901566534147,0.661383758643691,NA,1,1,"Kenya"
1,1.01066475503465,0.911305424680129,0.661383758643691,NA,1,1,"Kenya"
1,-0.962597852637492,-0.691394444560302,0.661383758643691,NA,1,1,"Kenya"
1,-0.774594063414904,-0.875276703864969,0.661383758643691,NA,1,1,"Kenya"
1,-0.829498830466856,-0.783949064961224,0.661383758643691,NA,1,1,"Kenya"
0,-0.389998698699439,NA,0.286138144348151,NA,1,1,"Kenya"
0,-0.458290946098432,NA,0.286138144348151,NA,1,1,"Kenya"
0,-0.391206696428733,0.287942949741163,0.286138144348151,NA,1,1,"Kenya"
0,-0.307864033072092,0.724494432855594,0.286138144348151,NA,1,1,"Kenya"
0,0.279249140311339,-1.11839297396756,0.286138144348151,NA,1,1,"Kenya"
0,0.419838329427658,-0.3763197239303,0.286138144348151,NA,1,1,"Kenya"
1,-0.170534190340396,NA,1.03662937293923,NA,1,1,"Kenya"
1,0.0655324085892179,NA,1.03662937293923,NA,1,1,"Kenya"
1,2.556884628536,0.159802197028611,1.03662937293923,NA,1,1,"Kenya"
1,0.278148761642014,-0.373020144113554,1.03662937293923,NA,1,1,"Kenya"
1,-0.217489656868194,-0.0863357996512345,1.03662937293923,NA,1,1,"Kenya"
1,0.168378878302908,-0.176736931956433,1.03662937293923,NA,1,1,"Kenya"
1,-0.316843862579758,NA,-0.089107469947388,NA,1,1,"Kenya"
1,-0.084131407035825,NA,-0.089107469947388,NA,1,1,"Kenya"
1,-0.335582331806757,0.287942949741163,-0.089107469947388,NA,1,1,"Kenya"
1,0.278148761642014,-0.723290753784559,-0.089107469947388,NA,1,1,"Kenya"
1,-0.714228454047726,-0.604957495287578,-0.089107469947388,NA,1,1,"Kenya"
1,-0.208810298384217,-0.176736931956433,-0.089107469947388,NA,1,1,"Kenya"
1,-0.776777553091516,-0.841081498152472,-0.089107469947388,NA,1,1,"Kenya"
1,-1.04839222377657,NA,-0.651975891390697,NA,1,1,"Kenya"
1,-0.83245048516104,NA,-0.651975891390697,NA,1,1,"Kenya"
1,-0.780577248782566,-0.609042319246699,-0.651975891390697,NA,1,1,"Kenya"
1,-0.0881092350543025,-0.373020144113554,-0.651975891390697,NA,1,1,"Kenya"
1,-0.813576213483633,-0.86426834310575,-0.651975891390697,NA,1,1,"Kenya"
1,-0.249564779338118,-0.498286899004985,-0.651975891390697,NA,1,1,"Kenya"
0,-0.646040625118322,NA,-0.464353084242927,NA,1,1,"Kenya"
0,-0.308627130473389,NA,-0.464353084242927,NA,1,1,"Kenya"
0,-0.530267607983673,-0.416831190177872,-0.464353084242927,NA,1,1,"Kenya"
0,0.0950197632938557,0.537683441031058,-0.464353084242927,NA,1,1,"Kenya"
0,0.527618538901105,0.172975048166937,-0.464353084242927,NA,1,1,"Kenya"
0,0.168378878302908,0.501844560754716,-0.464353084242927,NA,1,1,"Kenya"
0,-0.249564779338118,-0.212624733048746,-0.464353084242927,NA,1,1,"Kenya"
1,-0.938659969597045,NA,-0.464353084242927,NA,1,1,"Kenya"
1,-0.458290946098432,NA,-0.464353084242927,NA,1,1,"Kenya"
1,-0.224333602562805,1.82563198229178,-0.464353084242927,NA,1,1,"Kenya"
1,-0.820625228446936,0.21076420533812,-0.464353084242927,NA,1,1,"Kenya"
1,-1.01227173235545,0.0865380988942132,-0.464353084242927,NA,1,1,"Kenya"
1,-0.837458926196091,0.222428651991302,-0.464353084242927,NA,1,1,"Kenya"
1,-0.513171166214817,0.834803208790797,-0.464353084242927,NA,1,1,"Kenya"
0,-0.170534190340396,NA,-0.464353084242927,NA,1,1,"Kenya"
0,2.68464918202747,NA,-0.464353084242927,NA,1,1,"Kenya"
0,-0.74720263000938,-0.224620061109044,-0.464353084242927,NA,1,1,"Kenya"
0,-0.747373629107672,-0.0227495344425497,-0.464353084242927,NA,1,1,"Kenya"
0,2.26620432902947,2.33389877998503,-0.464353084242927,NA,1,1,"Kenya"
0,-1.08891837732084,NA,-0.464353084242927,NA,1,1,"Kenya"
0,-0.882220107842195,-0.307845455034159,-0.464353084242927,NA,1,1,"Kenya"
1,-0.536308370938801,NA,-0.464353084242927,NA,1,1,"Kenya"
