"treatment_indicator","Profit_zscore","Revenue_zscore","Baseline_Profit_z","Baseline_Revenue_z","urban","female","group"
1,-0.118859385385933,-0.357749513726534,NA,-0.446919837199764,1,1,"Nigeria"
1,-0.508909323933646,-0.372605980403437,NA,-0.403009603401348,1,0,"Nigeria"
0,-0.618923409165051,-0.428494593140356,NA,-0.369232499900657,1,1,"Nigeria"
0,3.88165280484701,0.933348185575724,NA,-0.227368653158068,1,0,"Nigeria"
1,0.131172626503626,0.579622788506613,NA,0.542749279568365,1,0,"Nigeria"
0,-0.581418607381618,-0.440874982037775,NA,-0.458404053104856,1,0,"Nigeria"
0,-0.468904202031316,-0.417882831228283,NA,-0.132792760346213,1,0,"Nigeria"
0,2.38146073350966,4.82432755333595,NA,-0.352343944387909,1,1,"Nigeria"
0,-0.139862059123913,-0.312118937504618,NA,-0.194717674587541,1,1,"Nigeria"
0,-0.618923409165051,-0.198573085045434,NA,4.59600188024655,1,1,"Nigeria"
1,-0.243875391330713,-0.332988735931696,NA,-0.318566840887219,1,1,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.348966231780398,1,1,"Nigeria"
1,4.38171682862613,1.8176616782485,NA,0.0360927345828185,1,1,"Nigeria"
1,NA,NA,NA,-0.369232499900657,1,0,"Nigeria"
0,-0.118859385385933,0.0490346929029448,NA,-0.200346982397206,1,1,"Nigeria"
0,-0.292631633649177,-0.340063243873078,NA,-0.419898155151693,1,1,"Nigeria"
1,NA,NA,NA,-0.30167828537447,1,0,"Nigeria"
0,-0.0688529830080216,-0.297616196224785,NA,-0.460430679164401,1,0,"Nigeria"
0,-0.531412205003706,-0.43910635505243,NA,-0.403009603401348,1,1,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.453675258652383,1,1,"Nigeria"
1,0.631236650282744,-0.0217103865108776,NA,0.0698698456083153,1,1,"Nigeria"
1,-0.493907403220272,-0.410808323286901,NA,-0.443542126473455,1,1,"Nigeria"
1,0.376203998155393,-0.0217103865108776,NA,-0.30167828537447,1,1,"Nigeria"
1,-0.493907403220272,-0.340063243873078,NA,-0.352343944387909,1,0,"Nigeria"
1,-0.56891700678714,-0.459622428082438,NA,-0.369232499900657,1,1,"Nigeria"
0,0.381204638393185,0.0490346929029448,NA,-0.30167828537447,1,0,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.369232499900657,1,0,"Nigeria"
1,NA,NA,NA,-0.386121047888599,1,0,"Nigeria"
0,-0.431399400247882,-0.389584799462754,NA,-0.453675258652383,1,0,"Nigeria"
0,0.381204638393185,-0.127828005631611,NA,-0.386121047888599,1,0,"Nigeria"
1,-0.418897799653404,0.225897391437501,NA,-0.403009603401348,1,0,"Nigeria"
1,-0.501408363576959,-0.444412236008466,NA,-0.457052968438092,1,0,"Nigeria"
1,-0.468904202031316,-0.410808323286901,NA,-0.453675258652383,1,1,"Nigeria"
1,1.29105364084791,0.59928106017698,NA,-0.30167828537447,1,0,"Nigeria"
0,0.00615662055884608,0.402760089972057,NA,4.59600188024655,1,0,"Nigeria"
0,-0.193868988952801,-0.271086791444601,NA,-0.394565325644974,1,0,"Nigeria"
1,NA,NA,NA,-0.419898155151693,1,0,"Nigeria"
0,NA,NA,NA,0.373863784639334,1,0,"Nigeria"
0,-0.438900360604569,0.225897391437501,NA,0.542749279568365,1,1,"Nigeria"
0,-0.263115372958506,-0.313763758442021,NA,0.515148349196238,1,1,"Nigeria"
1,0.535186831550329,0.062476257991571,NA,0.204978289710303,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.430031285449419,1,0,"Nigeria"
0,-0.418897799653404,-0.410808323286901,NA,-0.335455396399967,1,0,"Nigeria"
1,-0.243875391330713,-0.340063243873078,NA,-0.419898155151693,1,1,"Nigeria"
1,3.88165280484701,5.88550374454329,NA,1.2182913796814,1,0,"Nigeria"
0,-0.618923409165051,-0.463867132847267,NA,-0.418209298847937,1,1,"Nigeria"
1,-0.394894730327192,-0.428494593140356,NA,-0.379365630198384,1,1,"Nigeria"
0,NA,NA,NA,-0.430031285449419,1,1,"Nigeria"
1,NA,NA,NA,-0.30167828537447,1,1,"Nigeria"
0,2.39467501079818,1.14558342381719,NA,0.542749279568365,1,1,"Nigeria"
0,-0.575167807084379,-0.456792624905885,NA,-0.23412407837309,1,1,"Nigeria"
0,NA,NA,NA,-0.335455396399967,1,0,"Nigeria"
1,-0.454339844969121,-0.250986341438212,NA,-0.0652385683944455,1,1,"Nigeria"
0,-0.418897799653404,-0.428494593140356,NA,3.92045965973661,1,0,"Nigeria"
0,-0.468904202031316,-0.410808323286901,NA,-0.369232499900657,1,0,"Nigeria"
1,-0.618923409165051,0.225897391437501,NA,-0.453675258652383,1,1,"Nigeria"
1,-0.44390100084236,-0.403733815345518,NA,-0.436786706902038,1,1,"Nigeria"
1,-0.418897799653404,-0.360933042300156,NA,-0.458404053104856,1,0,"Nigeria"
0,-0.44390100084236,-0.340063243873078,NA,1.04265047458696,1,1,"Nigeria"
0,-0.486406442863585,0.19052485173059,NA,-0.419898155151693,1,1,"Nigeria"
1,-0.391394278345553,-0.35931298473131,NA,0.137424067659309,1,1,"Nigeria"
0,-0.513909964171437,-0.452547920141056,NA,-0.44523098277721,1,1,"Nigeria"
1,1.5063486918962,0.200025219844425,NA,-0.443542126473455,1,1,"Nigeria"
1,-0.318884994897581,-0.387816172477408,NA,-0.284789729861722,1,0,"Nigeria"
0,NA,NA,NA,-0.386121047888599,1,0,"Nigeria"
1,0.0259091342373783,-0.107347296505436,NA,0.0360927345828185,1,0,"Nigeria"
1,-0.39889523870224,-0.391530289146634,NA,-0.453675258652383,1,1,"Nigeria"
1,-0.618923409165051,0.685740407627346,NA,4.59600188024655,1,0,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.30167828537447,1,1,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.468874955157149,1,1,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.369232499900657,1,0,"Nigeria"
0,-0.221372510260653,-0.278320480132602,NA,-0.386121047888599,1,1,"Nigeria"
0,-0.318884994897581,-0.393122053433445,NA,-0.409765021091563,1,1,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.369232499900657,1,1,"Nigeria"
0,NA,NA,NA,-0.0652385683944455,1,1,"Nigeria"
1,2.1314287216201,0.473505169385879,NA,0.204978289710303,1,0,"Nigeria"
0,0.811259698843226,0.0500958690941521,NA,0.185321327754021,1,0,"Nigeria"
1,-0.243875391330713,-0.2516318946058,NA,-0.386121047888599,1,0,"Nigeria"
1,-0.926587807425525,0.933348185575724,NA,-0.386121047888599,1,1,"Nigeria"
1,-0.368891397275492,-0.235006800943552,NA,-0.099015649320716,1,0,"Nigeria"
1,-0.493907403220272,-0.375435783579989,NA,-0.30167828537447,1,1,"Nigeria"
0,0.206182230070493,-0.2516318946058,NA,-0.430031285449419,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.0652385683944455,1,0,"Nigeria"
1,NA,NA,NA,4.59600188024655,1,0,"Nigeria"
0,-0.401395558821135,-0.428494593140356,NA,-0.419898155151693,1,1,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,0.0360927345828185,1,0,"Nigeria"
1,0.131172626503626,0.579622788506613,NA,1.55606236953946,1,0,"Nigeria"
1,0.506220644337964,0.225897391437501,NA,-0.30167828537447,1,0,"Nigeria"
1,0.886269302410094,6.59295453868151,NA,0.0360927345828185,1,1,"Nigeria"
1,-0.368891397275492,-0.287004434312711,NA,-0.362477074685636,1,0,"Nigeria"
1,0.131172626503626,5.14020433291867,NA,-0.132792760346213,1,0,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.30167828537447,1,0,"Nigeria"
1,-0.73698852823145,0.142400494187589,NA,0.00231565365654807,1,0,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.132792760346213,1,0,"Nigeria"
0,-0.243875391330713,1.67617151942086,NA,-0.369232499900657,1,0,"Nigeria"
0,-0.618923409165051,-0.127828005631611,NA,-0.470563810402728,1,0,"Nigeria"
0,-0.376142329435475,-0.364647158969381,NA,-0.399631890793837,1,1,"Nigeria"
1,-0.368891397275492,0.117657419934352,NA,-0.403009603401348,1,1,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,0.00231565365654807,1,1,"Nigeria"
1,0.131172626503626,-0.198573085045434,NA,0.880520389823333,1,0,"Nigeria"
0,-0.368891397275492,-0.375435783579989,NA,0.0360927345828185,1,1,"Nigeria"
1,-0.545639027815537,-0.45092078385428,NA,-0.436786706902038,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.430031285449419,1,0,"Nigeria"
0,0.881268662172303,0.933348185575724,NA,-0.267901189398587,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.443542126473455,1,1,"Nigeria"
0,-0.0688529830080216,-0.216259354898889,NA,-0.186836131967162,1,1,"Nigeria"
0,1.5063486918962,3.40942596505951,NA,4.59600188024655,1,0,"Nigeria"
0,-0.243875391330713,-0.340063243873078,NA,-0.369232499900657,1,1,"Nigeria"
1,0.131172626503626,-0.163200545338522,NA,-0.132792760346213,1,1,"Nigeria"
1,NA,NA,NA,-0.462119534527556,1,0,"Nigeria"
0,-0.368891397275492,1.19369007781859,NA,-0.430031285449419,1,0,"Nigeria"
1,-0.518910604409228,-0.453255370935194,NA,-0.419898155151693,1,1,"Nigeria"
0,-0.56891700678714,-0.420005183610697,NA,-0.416520442544182,1,0,"Nigeria"
1,-0.181367388358323,-0.357749513726534,NA,-0.335455396399967,1,1,"Nigeria"
0,0.706246253849611,0.584928669462649,NA,-0.220613242992659,1,0,"Nigeria"
0,NA,NA,NA,-0.23412407837309,1,1,"Nigeria"
1,0.131172626503626,-0.216259354898889,NA,-0.453675258652383,1,0,"Nigeria"
1,-0.418897799653404,-0.428494593140356,NA,0.340086673613837,1,0,"Nigeria"
1,-0.56891700678714,-0.472710267773995,NA,-0.462119534527556,1,0,"Nigeria"
1,0.131172626503626,-0.0570829262177888,NA,-0.251012633885838,1,0,"Nigeria"
1,-0.173491395244545,-0.383164685664918,NA,-0.419898155151693,1,1,"Nigeria"
0,0.00615662055884608,-0.134690286970626,NA,-0.352343944387909,1,1,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,0.204978289710303,1,0,"Nigeria"
1,-0.196869365465104,-0.410808323286901,NA,-0.453675258652383,1,1,"Nigeria"
1,0.606233449093788,-0.113678989748847,NA,-0.375987917590873,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.436786706902038,1,0,"Nigeria"
0,NA,NA,NA,-0.335455396399967,1,0,"Nigeria"
0,0.456214241960052,-0.2516318946058,NA,-0.30167828537447,1,0,"Nigeria"
1,0.756252656227523,0.19052485173059,NA,-0.30167828537447,1,0,"Nigeria"
1,NA,NA,NA,-0.28816744999404,1,0,"Nigeria"
0,-0.368891397275492,-0.428494593140356,NA,-0.352343944387909,1,0,"Nigeria"
0,NA,NA,NA,-0.183458426884458,1,0,"Nigeria"
0,0.881268662172303,0.0490346929029448,NA,0.0360927345828185,1,1,"Nigeria"
1,NA,NA,NA,-0.30167828537447,1,0,"Nigeria"
0,NA,NA,NA,-0.34327479916753,1,0,"Nigeria"
1,-0.618923409165051,0.722297961957934,NA,0.779189056746843,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.375987917590873,1,0,"Nigeria"
1,0.031159821747802,1.26637011115007,NA,0.0698698456083153,1,0,"Nigeria"
1,-0.618923409165051,-0.229895464637966,NA,0.0698698456083153,1,1,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.430031285449419,1,0,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,-0.352343944387909,1,0,"Nigeria"
0,NA,NA,NA,-0.419898155151693,1,1,"Nigeria"
0,0.881268662172303,0.332015010558234,NA,0.238755400735799,1,0,"Nigeria"
0,NA,NA,NA,-0.30167828537447,1,1,"Nigeria"
1,NA,NA,NA,-0.335455396399967,1,1,"Nigeria"
1,0.471306201056614,0.685740407627346,NA,-0.453675258652383,1,0,"Nigeria"
1,-0.418897799653404,-0.375435783579989,NA,-0.403009603401348,1,1,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.369232499900657,1,0,"Nigeria"
0,-0.493907403220272,-0.428494593140356,NA,-0.436786706902038,1,1,"Nigeria"
0,0.381204638393185,-0.0924554659247,NA,0.968340782172101,1,0,"Nigeria"
0,-0.543913805598184,-0.428494593140356,NA,-0.335455396399967,1,1,"Nigeria"
1,0.631236650282744,1.14558618729686,NA,-0.355046109959034,1,NA,"Nigeria"
1,-0.0263475409867966,0.137466042170223,NA,-0.470563810402728,1,0,"Nigeria"
0,1.55768033718869,1.10136774918355,NA,2.73826101463804,1,0,"Nigeria"
0,-0.243875391330713,-0.357749513726534,NA,-0.386121047888599,1,1,"Nigeria"
1,NA,NA,NA,-0.386121047888599,1,0,"Nigeria"
0,-0.168865787763845,-0.311765212107549,NA,-0.458741823801246,1,0,"Nigeria"
1,NA,NA,NA,-0.386121047888599,1,0,"Nigeria"
0,0.00615662055884608,-0.0570829262177888,NA,0.0360927345828185,1,0,"Nigeria"
0,-0.44390100084236,-0.393122053433445,NA,-0.369232499900657,1,1,"Nigeria"
1,NA,NA,NA,-0.308433710589492,1,1,"Nigeria"
0,-0.618923409165051,-0.481553402700723,NA,0.0360927345828185,1,0,"Nigeria"
1,-0.56891700678714,-0.459976153479507,NA,-0.419898155151693,1,1,"Nigeria"
1,-0.572667486965483,-0.450107214361537,NA,-0.369232499900657,1,1,"Nigeria"
1,2.38146073350966,0.225897391437501,NA,0.204978289710303,1,1,"Nigeria"
1,-0.418897799653404,-0.340063243873078,NA,-0.436786706902038,1,1,"Nigeria"
0,-0.118859385385933,-0.0217103865108776,NA,-0.403009603401348,1,1,"Nigeria"
0,NA,NA,NA,-0.369232499900657,1,1,"Nigeria"
0,-0.118859385385933,-0.269318164459256,NA,-0.30167828537447,1,0,"Nigeria"
0,-0.481405802625794,-0.418105679955611,NA,-0.271886883804116,1,0,"Nigeria"
1,-0.618923409165051,-0.481553402700723,NA,-0.30167828537447,1,0,"Nigeria"
0,-0.518910604409228,-0.428494593140356,NA,-0.453675258652383,1,0,"Nigeria"
