"treatment_indicator","Profit_zscore","urban","female","group"
1,-0.536308370938801,1,1,"Kenya"
1,0.290028132026782,1,1,"Kenya"
1,-0.613704154916638,1,1,"Kenya"
1,-0.820625228446936,1,1,"Kenya"
1,0.279249140311339,1,1,"Kenya"
1,-0.460269749508966,1,1,"Kenya"
1,-0.249564779338118,1,1,"Kenya"
1,-0.536308370938801,1,1,"Kenya"
1,-0.121547360942086,1,1,"Kenya"
1,-0.502455425672685,1,1,"Kenya"
1,-0.747373629107672,1,1,"Kenya"
1,0.775987937490871,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,-0.144122224587439,1,1,"Kenya"
1,-0.46315353481912,1,1,"Kenya"
1,-0.83245048516104,1,1,"Kenya"
1,-0.669328519538614,1,1,"Kenya"
1,1.01066475503465,1,1,"Kenya"
1,-0.962597852637492,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,-0.829498830466856,1,1,"Kenya"
0,-0.389998698699439,1,1,"Kenya"
0,-0.458290946098432,1,1,"Kenya"
0,-0.391206696428733,1,1,"Kenya"
0,-0.307864033072092,1,1,"Kenya"
0,0.279249140311339,1,1,"Kenya"
0,0.419838329427658,1,1,"Kenya"
1,-0.170534190340396,1,1,"Kenya"
1,0.0655324085892179,1,1,"Kenya"
1,2.556884628536,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-0.217489656868194,1,1,"Kenya"
1,0.168378878302908,1,1,"Kenya"
1,-0.316843862579758,1,1,"Kenya"
1,-0.084131407035825,1,1,"Kenya"
1,-0.335582331806757,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-0.714228454047726,1,1,"Kenya"
1,-0.208810298384217,1,1,"Kenya"
1,-0.776777553091516,1,1,"Kenya"
1,-1.04839222377657,1,1,"Kenya"
1,-0.83245048516104,1,1,"Kenya"
1,-0.780577248782566,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,-0.813576213483633,1,1,"Kenya"
1,-0.249564779338118,1,1,"Kenya"
0,-0.646040625118322,1,1,"Kenya"
0,-0.308627130473389,1,1,"Kenya"
0,-0.530267607983673,1,1,"Kenya"
0,0.0950197632938557,1,1,"Kenya"
0,0.527618538901105,1,1,"Kenya"
0,0.168378878302908,1,1,"Kenya"
0,-0.249564779338118,1,1,"Kenya"
1,-0.938659969597045,1,1,"Kenya"
1,-0.458290946098432,1,1,"Kenya"
1,-0.224333602562805,1,1,"Kenya"
1,-0.820625228446936,1,1,"Kenya"
1,-1.01227173235545,1,1,"Kenya"
1,-0.837458926196091,1,1,"Kenya"
1,-0.513171166214817,1,1,"Kenya"
0,-0.170534190340396,1,1,"Kenya"
0,2.68464918202747,1,1,"Kenya"
0,-0.74720263000938,1,1,"Kenya"
0,-0.747373629107672,1,1,"Kenya"
