"treatment_indicator","Profit_zscore","Revenue_zscore","Baseline_Profit_z","Baseline_Revenue_z","urban","female","group"
1,-0.169567681550647,-0.053723659151907,-0.944755201671489,-0.365186236569614,1,0,"RSA Marketing"
1,-0.332198130905845,-0.116495704670736,-0.944755201671489,-0.365186236569614,1,0,"RSA Marketing"
0,-0.0289315981465926,-0.059113952598136,0.0597056471544347,0.151158052972355,1,0,"RSA Marketing"
0,0.66894301243894,0.153436453595366,0.0597056471544347,0.151158052972355,1,0,"RSA Marketing"
0,-0.320104290486417,-0.255851388275622,-0.664587198097621,-0.621113406168678,1,0,"RSA Marketing"
0,NA,NA,-0.664587198097621,-0.621113406168678,1,0,"RSA Marketing"
1,0.53554703524746,0.596677499660151,-0.161005481062921,0.510354080479813,1,0,"RSA Marketing"
1,0.425632354107742,0.495869353949643,-0.161005481062921,0.510354080479813,1,0,"RSA Marketing"
1,-0.544567674612149,-0.288640960888536,-0.00785898393251085,-0.252937477973534,1,0,"RSA Marketing"
1,NA,NA,-0.00785898393251085,-0.252937477973534,1,0,"RSA Marketing"
1,-0.208915548817424,-0.373074110366791,-0.442074346384614,-0.578458877902167,1,1,"RSA Marketing"
1,-0.196500190303588,-0.333935735761852,-0.442074346384614,-0.578458877902167,1,1,"RSA Marketing"
1,NA,NA,-1.26933568941318,-0.567234002042559,1,0,"RSA Marketing"
1,NA,NA,-1.26933568941318,-0.567234002042559,1,0,"RSA Marketing"
0,NA,NA,-1.30365852200534,0.106258549533923,1,0,"RSA Marketing"
0,-0.474301827554565,-0.146501691375264,-1.30365852200534,0.106258549533923,1,0,"RSA Marketing"
1,-0.342054157617738,-0.199527257372724,-0.597022567010676,-0.577111892799014,1,1,"RSA Marketing"
1,-0.420107287281959,-0.507921227737401,-0.597022567010676,-0.577111892799014,1,1,"RSA Marketing"
0,NA,NA,2.90192446154528,1.18384663205629,1,1,"RSA Marketing"
0,NA,NA,2.90192446154528,1.18384663205629,1,1,"RSA Marketing"
1,1.98849235335812,3.71168689788701,0.726433426720413,2.21653521114023,1,0,"RSA Marketing"
1,1.10494730873714,1.57316017217158,0.726433426720413,2.21653521114023,1,0,"RSA Marketing"
1,NA,NA,-0.639363069158495,-0.544784250323343,1,0,"RSA Marketing"
1,NA,NA,-0.639363069158495,-0.544784250323343,1,0,"RSA Marketing"
0,5.63577716284056,6.32270246196764,5.23767880130838,5.80849548621481,1,0,"RSA Marketing"
0,6.74803161858203,6.79936618734101,5.23767880130838,5.80849548621481,1,0,"RSA Marketing"
0,-0.130614241151235,-0.382091242835342,-0.39955367188723,-0.522334498604127,1,1,"RSA Marketing"
0,-0.294692967017645,-0.290261783671773,-0.39955367188723,-0.522334498604127,1,1,"RSA Marketing"
0,-0.296606375234895,-0.0209390791162879,-0.432615298032442,-0.389319719667772,1,0,"RSA Marketing"
0,-0.298328339232937,-0.157482670436879,-0.432615298032442,-0.389319719667772,1,0,"RSA Marketing"
1,0.2964937781969,0.613072285966608,-0.00200338257164224,-0.403350814492282,1,0,"RSA Marketing"
1,-0.19123422100411,-0.304819767701799,-0.00200338257164224,-0.403350814492282,1,0,"RSA Marketing"
1,-0.301665004875501,-0.304819767701799,-0.654947977395884,-0.504374697228754,1,1,"RSA Marketing"
1,-0.37592313772825,-0.449309866691817,-0.654947977395884,-0.504374697228754,1,1,"RSA Marketing"
0,-0.360902260184086,-0.341578677377615,-0.397932120741143,-0.489782358611264,1,1,"RSA Marketing"
0,-0.416192072777919,-0.329627926654679,-0.397932120741143,-0.489782358611264,1,1,"RSA Marketing"
1,0.333136519573009,0.0310573720873784,0.485813253876105,-0.282122155208515,1,1,"RSA Marketing"
1,NA,NA,0.485813253876105,-0.282122155208515,1,1,"RSA Marketing"
0,NA,NA,0.604727004589129,-0.0284399607813732,1,0,"RSA Marketing"
0,NA,NA,0.604727004589129,-0.0284399607813732,1,0,"RSA Marketing"
0,-0.334013850454773,-0.319377751731825,-0.349285586358542,-0.522334498604127,1,0,"RSA Marketing"
0,-0.25773668206754,-0.387829418042602,-0.349285586358542,-0.522334498604127,1,0,"RSA Marketing"
0,-0.313841567725231,-0.296838354041765,-0.326764042662894,-0.477434995165695,1,0,"RSA Marketing"
0,-0.259486688758253,-0.232029847551668,-0.326764042662894,-0.477434995165695,1,0,"RSA Marketing"
1,0.707574301357811,0.596677499660151,0.897507072632559,0.84148791833825,1,0,"RSA Marketing"
1,-0.126411458865584,0.000897896928751387,0.897507072632559,0.84148791833825,1,0,"RSA Marketing"
1,0.527196515295663,0.0591298330488563,-0.111458084932494,-0.0553796628444325,1,0,"RSA Marketing"
1,-0.0617680825662438,-0.255851388275622,-0.111458084932494,-0.0553796628444325,1,0,"RSA Marketing"
0,NA,NA,-0.618192818084585,-0.353961360710006,1,1,"RSA Marketing"
0,NA,NA,-0.618192818084585,-0.353961360710006,1,1,"RSA Marketing"
0,NA,NA,-0.269198976976816,-0.538049324807578,1,0,"RSA Marketing"
