"treatment_indicator","Revenue_zscore","urban","female","group"
1,-0.788439373044271,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,-0.0863357996512345,1,1,"Kenya"
1,-0.775485307878035,1,1,"Kenya"
1,-0.498286899004985,1,1,"Kenya"
1,-0.583414168704189,1,1,"Kenya"
1,-1.0502099894775,1,1,"Kenya"
1,0.259411997439661,1,1,"Kenya"
1,-0.755527028680648,1,1,"Kenya"
1,-0.307845455034159,1,1,"Kenya"
1,-0.480901566534147,1,1,"Kenya"
1,0.911305424680129,1,1,"Kenya"
1,-0.691394444560302,1,1,"Kenya"
1,-0.875276703864969,1,1,"Kenya"
1,-0.783949064961224,1,1,"Kenya"
0,0.287942949741163,1,1,"Kenya"
0,0.724494432855594,1,1,"Kenya"
0,-1.11839297396756,1,1,"Kenya"
0,-0.3763197239303,1,1,"Kenya"
1,0.159802197028611,1,1,"Kenya"
1,-0.373020144113554,1,1,"Kenya"
1,-0.0863357996512345,1,1,"Kenya"
1,-0.176736931956433,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,-0.723290753784559,1,1,"Kenya"
1,-0.604957495287578,1,1,"Kenya"
1,-0.176736931956433,1,1,"Kenya"
1,-0.841081498152472,1,1,"Kenya"
1,-0.609042319246699,1,1,"Kenya"
1,-0.373020144113554,1,1,"Kenya"
1,-0.86426834310575,1,1,"Kenya"
1,-0.498286899004985,1,1,"Kenya"
0,-0.416831190177872,1,1,"Kenya"
0,0.537683441031058,1,1,"Kenya"
0,0.172975048166937,1,1,"Kenya"
0,0.501844560754716,1,1,"Kenya"
0,-0.212624733048746,1,1,"Kenya"
1,1.82563198229178,1,1,"Kenya"
1,0.21076420533812,1,1,"Kenya"
1,0.0865380988942132,1,1,"Kenya"
1,0.222428651991302,1,1,"Kenya"
1,0.834803208790797,1,1,"Kenya"
0,-0.224620061109044,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,2.33389877998503,1,1,"Kenya"
0,-0.307845455034159,1,1,"Kenya"
1,-0.737183071959251,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,-0.604957495287578,1,1,"Kenya"
1,2.08191348771689,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,-0.656819664851212,1,1,"Kenya"
1,-0.3763197239303,1,1,"Kenya"
1,-0.879169786946637,1,1,"Kenya"
0,-0.224620061109044,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,-0.0863357996512345,1,1,"Kenya"
0,-0.3763197239303,1,1,"Kenya"
1,-0.876856492415932,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,-1.06653080440392,1,1,"Kenya"
1,-0.735568749483261,1,1,"Kenya"
1,-0.835368254833347,1,1,"Kenya"
